id,name,description,current_category,store_type
663,감귤가루,귤 껍질에서 나는 상큼한 향을 쉽게 첨가할 수 있어 베이킹이나 육류 요리에 유용하다는 실사용자 리뷰,etc,donki
664,감씨과자,가격 대비 훌륭하며 땅콩과 조합된 버전이 맥주 안주로 애정받는 과자라는 후기,food,donki
665,건관자 수프,신기해서 구매했으며 아직 사용 전이지만 흥미를 끄는 아이템으로 언급됨,etc,donki
666,게다리맛 센베,바삭한 식감과 새우·게맛의 풍미가 맥주 안주로도 좋아 간식으로 추천된다는 후기,food,donki
667,고구마 아몬드,유통기한 임박 할인으로 싸게 구매했는데 달콤한 맛이 좋고 손이 자꾸 가는 위험한 맛이라는 실사용 후기,food,donki
668,고락쿠,초심자용도 있어 부담 없이 구매 가능하고 일본 국민 변비약으로 추천됨,etc,donki
669,고바야시 브레스케어,복숭아 맛 구강청결제로 삼켜서 사용하는 방식이며 입냄새 제거 효과로 인기가 있다는 평,food,donki
670,고바야시 세나큐어,"등드름, 가드름, 땀띠에 뿌리는 타입으로 사용 편리하고 효과 뛰어나며 국내 대비 가격 메리트 크다는 후기",etc,donki
671,고바야시 쇼슈겐,화장실 냄새 제거에 효과적이며 장미향으로 기분 좋게 만들어줘 반복 구매된다는 후기,cosmetic,donki
672,고바야시 쇼슈겐 변기 탈취제,파우치에 넣고 다니기 좋고 화장실 냄새 제거에 탁월해 공중화장실 필수템이라는 후기,cosmetic,donki
673,고바야시 제약 1방울 소취제,화장실 냄새 제거에 탁월하고 휴대하기 쉬워 필수템으로 꼽힌다는 실사용자 평,cosmetic,donki
674,고쿠준 하다라보,자극 없이 순해서 데일리 기초화장품으로 추천된다는 리뷰,cosmetic,donki
675,고쿠쥰 프리미엄 로션,보습력과 윤기가 뛰어나 속건조를 잡아준다는 후기,cosmetic,donki
676,곤약젤리,다양한 맛과 탱글한 식감으로 간식이나 다이어트용으로 꾸준히 사랑받는 간편 간식이라는 후기,etc,donki
677,곤약젤리 (망고/복숭아/포도),복숭아맛은 품절이 많고 리치맛은 레어템이라 맛 위주로 골라 구매한다는 실사용 후기,etc,donki
678,곤약젤리 (오리히로),다른 사람은 여러 개 쓸어 담을 정도로 인기가 높고 후회했다는 후기 포함,etc,donki
679,곤약젤리 (파우치형),"컵형은 한국 반입 불가해 파우치형만 구매하며, 복숭아와 포도맛이 특히 인기가 많아 대량 구매된다는 후기",etc,donki
680,곤약젤리 튜브형,이제 튜브로 출시되어 자유롭게 구매 가능하며 다이어트 간식으로도 좋다는 실사용 후기,etc,donki
681,골든 커리,10분 완성 일본식 카레로 향과 맛이 일본 그대로이며 맵기 조절 가능해 추천된다는 후기,food,donki
682,골든커리 고형 카레,고형 형태로 진한 카레 맛을 즐길 수 있어 집에서도 일본식 카레를 재현 가능하다는 후기,food,donki
683,골든커리 프리미엄,"진한 맛으로 일반 버전보다 맛있어 보여 구매되며, 원래 골든커리는 재구매템이라는 평",food,donki
684,교세라 세라믹칼,무디게 생겼지만 절삭력이 뛰어나고 가볍고 잘 썰려 부모님이 만족했다는 후기,etc,donki
685,구내염 패치,환부에 스티커처럼 붙여 생활 통증을 줄여주며 잦은 구내염 발생자에게 꼭 필요한 아이템으로 추천됨,etc,donki
686,군고구마 스프레드,식빵에 발라 구우면 군고구마 맛이 나며 중독성 강하다는 후기,food,donki
687,그린벨 귀이개,얇고 저렴하며 선물용으로도 만족도가 높아 여러 개를 구매해두면 좋다는 추천 후기 있음,etc,donki
688,그린벨 손톱깎이,예리한 절삭력과 고급스러운 디자인으로 손톱 관리에 만족도가 높다는 실사용 리뷰,etc,donki
689,글렌피딕 15,인기 있는 싱글몰트 위스키로 가격이 오르긴 했지만 여전히 찾는 사람이 많은 제품이라는 평,etc,donki
690,글리코 미니 푸칭푸딩,상온 보관 가능하고 휴대 간편해 선물과 여행용 간식으로 추천된다는 후기,etc,donki
691,글리코 치자,짭짤한 체다치즈 과자로 맥주 안주로 인기이며 치즈 덕후들이 좋아한다는 평,food,donki
692,글리코 푸칭푸딩 (미니사이즈),카라멜 시럽이 깔린 미니 푸딩으로 쪼꼬미 사이즈와 저렴한 가격 덕에 학생 간식이나 기념품으로 인기라는 실사용 후기,etc,donki
693,기노코노 야마,바삭한 크래커와 진한 초콜릿 조합이 일품으로 경쾌한 식감과 풍부한 맛이 어우러져 자꾸 손이 간다는 후기,food,donki
694,기노코노 야마 우지말차맛,기존 제품에 말차맛을 더해 선물용으로도 새롭고 만족스럽다는 후기,food,donki
695,기린 살구주 (신루츠),술을 자주 마시지 않는 사람도 토닉워터와 함께 마시기 좋아서 매번 구매하게 된다는 리뷰,etc,donki
696,나마카라멜,홋카이도 특산으로 부드러운 식감과 진한 단맛이 매력이라는 후기,food,donki
697,나이시토루 다이어트 한방약,체내 지방 연소에 도움돼 다이어트 보조제로 인기가 많다는 후기,etc,donki
698,나토리 치타라 치즈포,짭짤하고 진한 치즈 맛으로 술안주 또는 간식으로 인기 많다는 후기,etc,donki
699,날치육수 (아고다시),그냥 소면에 넣기만 해도 요리 완성될 정도로 맛이 진해 꾸준히 재구매할 거라는 찐후기,food,donki
700,냄새 제거 스프레이,"신발, 옷장, 화장실 냄새 제거에 유용해 항상 구비해두는 아이템이라는 후기",cosmetic,donki
701,넥쿨러,얼려서 목에 걸면 체온을 낮춰주어 여름철 야외 활동 시 현지인도 애용하는 인기 쿨링 용품이라는 후기,etc,donki
702,노도누루 가습 마스크,기내나 장거리 여행에 목 건조함 방지에 탁월해 꼭 챙긴다는 실사용 리뷰,etc,donki
703,노도누루 스프레이 키즈,인후염·구내염 완화에 효과 있으며 딸기맛 키즈용은 아이와 함께 사용하기 좋아 가족 여행 필수템이라는 평가,food,donki
704,노리타마 후리카케,호불호 없이 무난한 맛으로 쇼핑 리스트에 자주 포함된다는 후기,food,donki
705,노즈민트,기분전환용으로 상쾌하고 간편하게 사용할 수 있어 여행용으로 추천된다는 후기,etc,donki
706,녹차 과자,은은한 단맛과 녹차 향이 잘 어우러져 일본 과자 중에서도 꾸준히 사게 된다는 평,food,donki
707,녹차 킷캣,찐 녹차가루가 듬뿍 들어 있어 진한 녹차 맛으로 여행 선물로 자주 구매된다는 후기,food,donki
708,니베아 복숭아 립밤,저렴하고 촉촉해서 선물용으로도 적합하며 스테디셀러로 자주 추천된다는 후기,cosmetic,donki
709,니치반 동전파스,작고 강력한 효과로 스테디셀러이며 근육통 완화에 꾸준히 추천된다는 평,etc,donki
710,니카 위스키,삿포로 지역 유명 위스키로 얼굴 로고가 특징이며 구비 수량이 많아 구하기 쉽다는 후기,etc,donki
711,니혼슈,선물용 패키지 구성도 있어 일본 전통주를 여행 기념품으로 구매하기 좋다는 후기,etc,donki
712,닛신 돈베이 키츠네 우동,컵라면 중 가장 인기 있는 제품으로 가볍고 가격 대비 만족도가 높아 여러 개 사간다는 후기,food,donki
713,닛신 라오 라멘,"미소, 간장 맛 모두 맛있고 매장 라멘 퀄리티로 한국에 들고 올 정도로 만족도가 높다는 평",food,donki
714,닛신 칠리토마토 컵라면,약간의 얼큰함을 원할 때 좋은 일본 컵라면으로 추천된다는 후기,etc,donki
715,닛신 컵누들 치즈카레맛,치즈와 카레의 조합이 진하고 고급스러워 여행 중 야식으로 딱이라는 사용자 경험,food,donki
716,다이쇼 구강청결제,구취 제거와 잇몸 관리에 효과 있어 여행 중 유용하다는 사용자 평,etc,donki
717,다이쇼 퀵케어 구내염 패치,접착력 강하고 지속력 높아 국내 제품보다 효과 좋으며 구내염 자주 생기는 사람들에게 필수템으로 추천,etc,donki
718,다케노코노 사토 (죽순과자),초코송이보다 덜 달고 담백해 어른 입맛에도 맞는 과자라는 후기,food,donki
719,닷사이23 사케,고급 사케로 면세점보다 돈키호테에서 저렴하게 구매 가능해 주류 구매 시 선호된다는 평가,etc,donki
720,더마 레이저 슈퍼 VC100 마스크팩,비타민 C 성분의 빠른 흡수력과 고밀착 시트로 피부 탄력과 모공 개선에 효과가 있다는 후기,cosmetic,donki
721,더마 레이저 울쎄라C 에센스,"고농축 비타민 C와 나이아신아미드 성분으로 모공 케어에 효과적이며, 레이저 침투 기술 적용이라는 후기",cosmetic,donki
722,더마레이저 마스크,돈키호테 마스크 부문 판매 1위로 피부 진정과 보습에 효과 있어 재구매가 많다는 평,cosmetic,donki
723,더샘 커버 퍼펙션 아이디얼 듀얼 컨실러,트러블 커버와 예방까지 가능해 여행용으로 필수라는 후기,cosmetic,donki
724,데자뷰 마스카라,얇은 브러쉬로 번짐 없이 한올 한올 깔끔하게 발려 마스카라 끝판왕이라 불린다는 후기,cosmetic,donki
725,도라에몽 키링,귀엽고 가볍게 선물하기 좋은 기념품으로 추천된다는 후기,etc,donki
726,도브 크리미 스크럽 오스만투스,"부드러운 질감과 고보습, 금목서 향으로 재구매 의사 강력하다는 후기",cosmetic,donki
727,도쿄 스노우 글로브 머그,"도쿄 스타벅스 한정 머그로, 흔들면 시바견이 있는 컨페티가 흩날려 책상 장식으로도 귀엽고 예쁘다는 후기",etc,donki
728,도쿄바나나,대표적인 일본 기념품으로 맛과 포장이 모두 만족스럽다는 후기,food,donki
729,도쿄바나나 미니언즈 콜라보,"4입 1200엔으로 인기가 많아 품절 자주 발생하며, 달콤한 바나나 크림 빵으로 귀여움과 맛을 모두 잡았다는 후기",cosmetic,donki
730,도토루 원두,3~4번째 재구매 중으로 마일드블렌드와 이탈리안이 특히 맛있어 한국에서도 섞어 먹는다는 평,food,donki
731,돈키호테 PB 치킨스톡,물에 타도 진하고 저렴해서 간편하게 요리에 활용할 수 있으며 재구매템으로 꼽힌다는 후기,etc,donki
732,동결딸기 초콜릿,합리적인 가격에 구매할 수 있어 인기가 높다는 쇼핑 리스트 항목,food,donki
733,딸기 치즈케이크,"봄 한정 제품으로 개별 포장되어 있어 출근 간식으로 적합하며, 신랑이 애정하는 간식으로 등재된 후기",food,donki
734,딸기 화이트초코,800엔 이하 가격에 딸기 좋아하는 지인에게 선물했더니 맛있었다는 후기 포함,food,donki
735,라유,매운 고추기름으로 밥이나 국수 등에 활용도가 높고 돈키호테 PB 상품으로 가성비가 뛰어나다는 후기,etc,donki
736,라이온 시미토리 얼룩제거제,작고 휴대성이 뛰어나 옷 얼룩 제거에 탁월해 여행 중에도 유용하다는 후기,etc,donki
737,란도린 섬유탈취제,작은 사이즈가 휴대와 선물용으로 인기 많고 향이 좋아 꼭 사오는 필수템이라는 후기,etc,donki
738,레티놀 마스크팩,"주름 개선, 미백, 홍조 완화에 효과적이며 열감 진정이 확실해 예민한 피부에 강력 추천된다는 후기",cosmetic,donki
739,로얄 밀크티,낱개 포장으로 물에 타서 간편하게 마실 수 있어 여행 중 편리하다는 평가,food,donki
740,로얄밀크티 스틱,일동홍차의 스틱 타입 밀크티로 뜨거운 물만 있으면 간편하게 즐길 수 있고 선물용으로도 인기가 많다는 후기,food,donki
741,로이스 감자칩 화이트,기존 제품은 느끼했지만 화이트는 먹고 싶다는 요청으로 사왔을 정도로 인기가 있다는 실사용 후기,etc,donki
742,로이스 말차 바초콜릿,말차의 진한 풍미와 고급 포장으로 친한 지인 선물로 추천된다는 후기,food,donki
743,로이스 초콜릿,부드럽고 진한 초콜릿으로 선물용으로 추천된다는 실사용 평,food,donki
744,로이히츠보코 동전파스,열감 있는 오리지널과 쿨 버전 선택 가능하며 부위별 부착법 안내가 있어 부모님 선물용으로도 인기,etc,donki
745,로제트 폼클렌징 가슬 브라이트,쫀쫀한 거품과 깔끔한 세정력으로 여행 중 한 번만 써도 피부 정돈 효과가 느껴졌다는 후기,cosmetic,donki
746,로제트 폼클렌징 레드 링클,잔주름 완화와 피부 광채 개선이 가능한 폼클렌징으로 세안 단계부터 탄력 케어된다는 후기,cosmetic,donki
747,로제트 폼클렌징 티트리,트러블과 민감한 날에 상쾌한 티트리 향으로 진정 효과가 있다는 실사용자 후기,cosmetic,donki
748,로제트 폼클렌징 해초,여름철 데일리 세안템으로 뽀득한 마무리감과 피지 케어가 탁월해 추천된다는 리뷰,cosmetic,donki
749,로제트 폼클렌징 히알루론산,건조한 날에도 당김 없이 촉촉한 마무리로 민감성 피부에 추천된다는 후기,cosmetic,donki
750,로키소닌 파스 EX,현지에서 인기 많은 강력 진통 파스로 엄마가 써보고 만족했다는 실사용 후기,etc,donki
751,로토제약 멜라노CC 미백토너,기미와 주근깨에 효과적인 성분 덕분에 미백 목적으로도 사용되며 돈키호테에서 흔히 볼 수 있어 추천된다는 후기,cosmetic,donki
752,롬앤 틴트 피치모카,일본 한정 컬러로 채도 낮은 핑크와 모카 조합이 고급스러워 한국인에게 인기가 많아 재고 없을 정도라는 후기,cosmetic,donki
753,롬앤 피치모카 틴트,일본 한정판으로 촉촉한 발림성과 차분한 색감 덕분에 품절이 잦다는 후기,food,donki
754,롯데 초코파이 프리미엄,딸기·피스타치오 맛 등 시즌 한정으로 출시되며 부드럽고 고급스러운 맛이라 더 사올 걸 그랬다는 리뷰,food,donki
755,루루 A 골드 DX,초기 감기와 인후염 완화에 효과적이며 가족용 상비약으로 반복 구매된다는 후기,etc,donki
756,루시도엘 산열 트리트먼트,산뜻한 향과 끈적임 없는 마무리로 모발에 윤기와 부드러움을 동시에 주는 제품으로 소개됨,cosmetic,donki
757,류카쿠산 목캔디,감기 증상 완화와 목 건강에 효과 있어 일본 여행 필수템이라는 리뷰,etc,donki
758,르타오 치즈케이크,냉동 상태로 포장되어 아이스크림처럼 먹기 좋고 진한 치즈 풍미로 일본 면세점에서만 꼭 사온다는 후기,cosmetic,donki
759,리세 인공눈물,렌즈용과 비렌즈용으로 나뉘며 자극 없고 촉촉해서 건조할 때 자주 사용하는 인생템으로 추천,etc,donki
760,리치 말차초코샌드,쌉싸름한 진한 말차 맛이 좋아 말차 덕후에게 특히 추천된다는 후기,food,donki
761,마끼아쥬 뷰러,평평한 동양인 눈에 곡률이 딱 맞아 평소 시세이도 쓰던 사람도 갈아탔다는 강력 추천템,etc,donki
762,마루미야 아지도라쿠 후리카케,계란과 참다랑어포 등이 섞인 밥도둑용 고명으로 일본 밥반찬의 진수를 보여준다는 평,etc,donki
763,마루코메 미소장국,다양한 맛의 소포장 국으로 혼밥 시 간편하게 먹기 좋아 여행 중 쟁여온다는 후기,food,donki
764,마유 바디오일,말기름 성분으로 고보습·촉촉함을 느낄 수 있어 오랫동안 꾸준히 써온 루틴템이라는 후기,cosmetic,donki
765,마유크림,"220g 대용량에 500엔이라는 저렴한 가격, 보습력이 뛰어나고 위생적인 포장으로 여행 선물로 추천된다는 후기",cosmetic,donki
766,마이티아 CL 안약,건조하고 답답한 눈에 청량감을 주는 안약으로 직장인들이 즐겨 사용하는 제품이라는 후기,etc,donki
767,마죠리카 마죠르카 래쉬 익스팬더 롱롱롱 마스카라,롱래쉬와 컬링 유지력이 뛰어나 다른 마스카라로는 대체할 수 없다는 인생템이라는 강력한 추천,cosmetic,donki
768,마카마운틴,20배 농축 마카 성분으로 남성 활력 보충에 좋아 아버지 선물로 반복 구매한다는 후기,etc,donki
769,마칸센,남성 스태미나 보조제로 유명하며 밤 활력 증진에 도움되어 남편용 건강보조제로 추천된다는 평,cosmetic,donki
770,마키론 로션,트러블 피부 관리용으로 젤타입 클렌징과 함께 쓰기 좋다는 후기,cosmetic,donki
771,마키론 스팟 크림,트러블 부위에 찍어 바르면 금방 가라앉아 효과가 좋다는 후기,cosmetic,donki
772,마키론S 소독약,상처에 바르기 좋은 소독약으로 여행 중 유용하다는 후기,etc,donki
773,마토메쥬 헤어 왁스,잔머리를 말끔히 정리해주며 바르기 쉬워서 애용된다는 후기,cosmetic,donki
774,맥켈란 12 셰리 캐스크,한국보다 저렴한 가격에 구매 가능하며 인기도 높아 구매 어려운 위스키라는 실경험 후기,etc,donki
775,메가네 후키후키,휴대성 좋고 안경이나 스마트폰 닦기에 좋아서 반복 구매하는 클리너라는 평,etc,donki
776,메구리즘,온열 안대로 눈의 피로를 풀어주며 여행 후 숙면에 도움이 된다는 평가,etc,donki
777,메구리즘 삼림욕향,한국에서도 구매 가능하지만 아깝게 느껴져 일본에서만 사서 아껴 쓴다는 수면템 후기,etc,donki
778,메구리즘 아이마스크,따뜻한 증기로 눈 피로를 풀어줘서 선물용 및 숙면 보조템으로 반복 추천됨,etc,donki
779,메나리 눈 건강 영양제,모니터를 자주 보는 직장인에게 좋으며 한 알씩 간편하게 복용할 수 있어 반복 구매된다는 리뷰,etc,donki
780,메디큐브 PDRN 핑크 시카 토너,피부 진정과 보습에 효과적이며 일본에서 인기 있는 핑크 라인으로 돈키호테에서 자주 보인다는 후기,cosmetic,donki
781,메이지 기노코노 야마,"카카오와 밀크 초콜릿의 조합과 바삭한 크래커로 구성된 귀여운 버섯 모양 과자로, 남녀노소 인기 많아 기념품으로 자주 구입된다는 후기",food,donki
782,메이지 다케노코노 사토,죽순 모양의 부드러운 쿠키와 초콜릿 조화가 훌륭해 둘 다 함께 즐기면 행복해진다는 사용자 평,food,donki
783,메이지 마카다미아 초콜릿,통 마카다미아가 들어 있어 고소하고 씹는 맛이 좋다는 후기,food,donki
784,메이지 멜티키스,부드럽게 녹는 생초콜릿으로 한 번 먹고 반해서 다량 구매 추천된다는 후기,food,donki
785,메이지 생초콜릿,딸기보다 말차맛이 더 인기 있으며 퀄리티 높은 생초콜릿이라는 평,food,donki
786,메이지 피스타치오 초콜릿,피스타치오의 고소함이 살아있어 아몬드보다 더 맛있다는 실사용자 평,food,donki
787,멘베이,후쿠오카 대표 명란맛 센베이로 바삭하고 짭짤해서 개별 포장된 선물용으로 추천된다는 평,food,donki
788,멘소레담 야와카라 풋크림,고함량 우레아 성분으로 각질에 효과적이며 고운발보다 만족도 높다는 후기,cosmetic,donki
789,멘소레담 워터 립밤,무향·무자극에 끈적이지 않아 매번 2~3개씩 쟁여오는 최애 립밤이라는 강력 추천,cosmetic,donki
790,멜라노 CC 딥 클리어,비타민C 성분으로 피부에 좋고 엄마와 함께 구매해 만족스럽게 사용 중이라는 후기,cosmetic,donki
791,멜라노CC 스팟 코렉션 에센스,"기미, 잡티, 색소침착 완화에 효과적이며 화장솜 팩 사용 시 효과가 배가된다는 후기",cosmetic,donki
792,멜라노CC 에센스,잡티·미백 개선에 효과적이며 지속 사용 시 피부톤이 밝아진다는 후기,cosmetic,donki
793,멜라노CC 폼클렌징,"효소, 비타민C, 클레이 성분 함유로 모공 정리에 탁월하며 쫀득한 제형과 풍성한 거품으로 매끄러운 세안 효과 있다는 후기",etc,donki
794,멜라노CC 화이트,비타민C+E 성분으로 색소침착과 미백에 효과적이며 가격도 착하고 현지 직원 추천템으로 신뢰 높다는 후기,etc,donki
795,멜티키스,겨울 한정 부드러운 초콜릿으로 선물용으로도 인기가 많다는 후기,food,donki
796,명란 마요네즈,명란이 들어가 짭조름하고 안주나 반찬으로 잘 어울리며 신기한 일본 식품으로 추천된다는 후기,food,donki
797,명란김,짭조름하고 감칠맛 나며 밥도둑으로 손꼽히는 간식,food,donki
798,명란튜브,짭짤한 명란을 튜브형으로 간편하게 즐길 수 있어 밥반찬이나 안주로 추천,etc,donki
799,모공포커스 VC3 시트마스크,비타민C 유도체 3종 성분이 피부를 맑고 부드럽게 해준다는 후기,cosmetic,donki
800,모기패치,귀여운 캐릭터 디자인과 소염 효과 덕분에 아이들도 잘 사용하고 벌레 물린 후 효과적이라는 후기,etc,donki
801,모리나가 베이크 크림치즈 케이크,홋카이도 여행 후 몇 개 더 사올 걸 후회했다는 말이 나올 정도로 부드럽고 진한 치즈 맛이 일품이라는 후기,cosmetic,donki
802,모리나가 비어드파파 갈레트 샌드,슈크림이 들어간 촉촉한 과자로 한정판 제품으로 커피 간식으로 추천된다는 후기,cosmetic,donki
803,모리나가 솔티드 카라멜,짭짤달콤한 중독성 있는 맛으로 자녀가 좋아해서 재구매하는 제품으로 평가됨,food,donki
804,모리나가 알로에 요구르트,큼직한 알로에 조각 덕분에 식감이 살아 있어 질리지 않고 상큼하게 먹는다는 후기,food,donki
805,모모야 라유,매콤한 맛과 풍미로 일본 라유 중 맛이 좋다는 평가 많으며 지인 선물용으로도 인기,food,donki
806,모모우루리 힙케어솝,복숭아 향이 나는 각질 제거 비누로 피부를 부드럽게 만들어 엉덩이 스크럽용으로 추천된다는 후기,cosmetic,donki
807,모모푸리 복숭아 필오프팩,"유산균 발효 추출물과 피치 세라마이드 성분이 자극 없이 각질 제거에 효과적이며, 향이 좋아 매번 일본 갈 때마다 쟁여온다는 인생템이라는 후기",cosmetic,donki
808,모찌타로,쫀득한 쌀과자로 전통 간식 느낌이 나서 선물용으로도 추천된다는 후기,food,donki
809,무기차,호텔 냉장고에 넣어두고 마시기 좋으며 돈키호테에서 대용량을 저렴하게 구매할 수 있다는 후기,food,donki
810,무히패치,벌레 물린 부위 가려움 완화에 즉각적이고 대용량 구매하는 사용자 많다는 후기,etc,donki
811,미논 선크림 UV 마일드젤,무기자차지만 백탁 거의 없고 눈시림도 없어 민감성 피부도 부담 없이 매일 사용 가능하다는 평,cosmetic,donki
812,미논 아미노 모이스트 로션,9종 아미노산 보습 성분으로 겨울 속건조도 잡아주며 사계절용으로 반복 구매된다는 후기 존재,cosmetic,donki
813,미스터이토 랑그리 초코 크림샌드,쿠크다스보다 고급스럽고 맛이 뛰어나 재구매 욕구를 불러일으킨다는 후기,cosmetic,donki
814,미츠야 사이다 캔디,사이다 브랜드의 특징을 살린 탄산 느낌의 캔디로 상쾌한 맛이 인상적이라는 후기,food,donki
815,민티아 캔디,입이 텁텁할 때 상쾌함을 주며 휴대성이 뛰어나 다양한 맛을 즐길 수 있어 인기,food,donki
816,밀본 트리트먼트,손상모 전용 고급 트리트먼트로 미용실에서도 사용하는 제품이라 탈색 모발에 강력 추천된다는 후기,cosmetic,donki
817,밀키 캔디,진한 연유+우유 맛으로 기분 전환용 간식으로 적합하다는 후기,food,donki
818,바몬드 고체 카레,"사과와 파인애플이 들어가 달콤한 맛이 특징이며, 밥이나 우동에 곁들이기 좋아 인기가 많다는 후기",food,donki
819,박카스 D,피로회복에 효과 있으며 한국 제품과 비교해 맛과 성분이 독특하다는 평,food,donki
820,브레스 케어,에스파 지젤이 추천한 제품으로 마늘 냄새까지 잡아준다는 후기,etc,donki
821,브레스케어 캡슐,입안에서 터지며 즉시 상쾌함을 주는 제품으로 여행 시 유용하다는 후기,etc,donki
822,브루본 랑그롤,버터 향이 진하고 부드러워서 좋아하지만 부서지기 쉬워 조심히 가져와야 한다는 실사용 후기,etc,donki
823,브루본 버라이어티 팩,다양한 쿠키와 과자를 소량씩 즐길 수 있어 여행 간식이나 선물용으로 좋다는 리뷰,cosmetic,donki
824,브루본 알포트 초콜릿,부드러운 밀크 초콜릿과 바삭한 쿠키 조합이 잘 어울려 매일 간식으로 즐겼다는 실사용 후기,food,donki
825,브루본 초코 브라우니,칼디 대체품으로 구입했는데 진하고 촉촉한 식감 덕분에 믿고 먹는 브루본이라는 평가,etc,donki
826,블랙썬더,초코맛 진하고 크런치한 식감의 미니 초코바로 당 떨어질 때 간식으로 좋다는 평,food,donki
827,블랙썬더 미니바 아몬드&헤이즐넛,씹히는 식감과 찐 초콜릿 맛이 좋아서 최애 초콜릿으로 등극한다는 극찬 리뷰,food,donki
828,블랙썬더 초코바,진한 다크 초코맛과 바삭한 식감으로 한입 먹으면 중독될 정도로 인기 있는 간식이라는 후기,food,donki
829,블렌디 스틱 카페오레,진한 커피와 부드러운 우유의 조화가 훌륭해 대용량으로 매일 마시기 좋다는 후기,food,donki
