id,name,description,current_category,store_type
663,감귤가루,귤 껍질에서 나는 상큼한 향을 쉽게 첨가할 수 있어 베이킹이나 육류 요리에 유용하다는 실사용자 리뷰,etc,donki
664,감씨과자,가격 대비 훌륭하며 땅콩과 조합된 버전이 맥주 안주로 애정받는 과자라는 후기,food,donki
665,건관자 수프,신기해서 구매했으며 아직 사용 전이지만 흥미를 끄는 아이템으로 언급됨,etc,donki
666,게다리맛 센베,바삭한 식감과 새우·게맛의 풍미가 맥주 안주로도 좋아 간식으로 추천된다는 후기,food,donki
667,고구마 아몬드,유통기한 임박 할인으로 싸게 구매했는데 달콤한 맛이 좋고 손이 자꾸 가는 위험한 맛이라는 실사용 후기,food,donki
668,고락쿠,초심자용도 있어 부담 없이 구매 가능하고 일본 국민 변비약으로 추천됨,etc,donki
669,고바야시 브레스케어,복숭아 맛 구강청결제로 삼켜서 사용하는 방식이며 입냄새 제거 효과로 인기가 있다는 평,food,donki
670,고바야시 세나큐어,"등드름, 가드름, 땀띠에 뿌리는 타입으로 사용 편리하고 효과 뛰어나며 국내 대비 가격 메리트 크다는 후기",etc,donki
671,고바야시 쇼슈겐,화장실 냄새 제거에 효과적이며 장미향으로 기분 좋게 만들어줘 반복 구매된다는 후기,cosmetic,donki
672,고바야시 쇼슈겐 변기 탈취제,파우치에 넣고 다니기 좋고 화장실 냄새 제거에 탁월해 공중화장실 필수템이라는 후기,cosmetic,donki
673,고바야시 제약 1방울 소취제,화장실 냄새 제거에 탁월하고 휴대하기 쉬워 필수템으로 꼽힌다는 실사용자 평,cosmetic,donki
674,고쿠준 하다라보,자극 없이 순해서 데일리 기초화장품으로 추천된다는 리뷰,cosmetic,donki
675,고쿠쥰 프리미엄 로션,보습력과 윤기가 뛰어나 속건조를 잡아준다는 후기,cosmetic,donki
676,곤약젤리,다양한 맛과 탱글한 식감으로 간식이나 다이어트용으로 꾸준히 사랑받는 간편 간식이라는 후기,etc,donki
677,곤약젤리 (망고/복숭아/포도),복숭아맛은 품절이 많고 리치맛은 레어템이라 맛 위주로 골라 구매한다는 실사용 후기,etc,donki
678,곤약젤리 (오리히로),다른 사람은 여러 개 쓸어 담을 정도로 인기가 높고 후회했다는 후기 포함,etc,donki
679,곤약젤리 (파우치형),"컵형은 한국 반입 불가해 파우치형만 구매하며, 복숭아와 포도맛이 특히 인기가 많아 대량 구매된다는 후기",etc,donki
680,곤약젤리 튜브형,이제 튜브로 출시되어 자유롭게 구매 가능하며 다이어트 간식으로도 좋다는 실사용 후기,etc,donki
681,골든 커리,10분 완성 일본식 카레로 향과 맛이 일본 그대로이며 맵기 조절 가능해 추천된다는 후기,food,donki
682,골든커리 고형 카레,고형 형태로 진한 카레 맛을 즐길 수 있어 집에서도 일본식 카레를 재현 가능하다는 후기,food,donki
683,골든커리 프리미엄,"진한 맛으로 일반 버전보다 맛있어 보여 구매되며, 원래 골든커리는 재구매템이라는 평",food,donki
684,교세라 세라믹칼,무디게 생겼지만 절삭력이 뛰어나고 가볍고 잘 썰려 부모님이 만족했다는 후기,etc,donki
685,구내염 패치,환부에 스티커처럼 붙여 생활 통증을 줄여주며 잦은 구내염 발생자에게 꼭 필요한 아이템으로 추천됨,etc,donki
686,군고구마 스프레드,식빵에 발라 구우면 군고구마 맛이 나며 중독성 강하다는 후기,food,donki
687,그린벨 귀이개,얇고 저렴하며 선물용으로도 만족도가 높아 여러 개를 구매해두면 좋다는 추천 후기 있음,etc,donki
688,그린벨 손톱깎이,예리한 절삭력과 고급스러운 디자인으로 손톱 관리에 만족도가 높다는 실사용 리뷰,etc,donki
689,글렌피딕 15,인기 있는 싱글몰트 위스키로 가격이 오르긴 했지만 여전히 찾는 사람이 많은 제품이라는 평,etc,donki
690,글리코 미니 푸칭푸딩,상온 보관 가능하고 휴대 간편해 선물과 여행용 간식으로 추천된다는 후기,etc,donki
691,글리코 치자,짭짤한 체다치즈 과자로 맥주 안주로 인기이며 치즈 덕후들이 좋아한다는 평,food,donki
692,글리코 푸칭푸딩 (미니사이즈),카라멜 시럽이 깔린 미니 푸딩으로 쪼꼬미 사이즈와 저렴한 가격 덕에 학생 간식이나 기념품으로 인기라는 실사용 후기,etc,donki
693,기노코노 야마,바삭한 크래커와 진한 초콜릿 조합이 일품으로 경쾌한 식감과 풍부한 맛이 어우러져 자꾸 손이 간다는 후기,food,donki
694,기노코노 야마 우지말차맛,기존 제품에 말차맛을 더해 선물용으로도 새롭고 만족스럽다는 후기,food,donki
695,기린 살구주 (신루츠),술을 자주 마시지 않는 사람도 토닉워터와 함께 마시기 좋아서 매번 구매하게 된다는 리뷰,etc,donki
696,나마카라멜,홋카이도 특산으로 부드러운 식감과 진한 단맛이 매력이라는 후기,food,donki
697,나이시토루 다이어트 한방약,체내 지방 연소에 도움돼 다이어트 보조제로 인기가 많다는 후기,etc,donki
698,나토리 치타라 치즈포,짭짤하고 진한 치즈 맛으로 술안주 또는 간식으로 인기 많다는 후기,etc,donki
699,날치육수 (아고다시),그냥 소면에 넣기만 해도 요리 완성될 정도로 맛이 진해 꾸준히 재구매할 거라는 찐후기,food,donki
