id,name,name_japanese,description,category,price
62,Wacom Intuos S 타블렛,Wacom Intuos S タブレット,Wacom Intuos S 타블렛은 정밀한 펜 입력 기능과 다양한 드로잉 소프트웨어 호환으로 디지털 아트 입문자에게 이상적인 선택입니다.,IT,9000
63,JVC 무선 블루투스 헤드폰 HA-A30T,JVC ワイヤレスBluetooth ヘッドフォン HA-A30T,"JVC 무선 블루투스 헤드폰 HA-A30T는 노이즈 캔슬링 기능과 안정적인 연결 성능을 갖춘 무선 이어폰으로, 일상과 운동 모두에 적합합니다.",IT,6000
64,ELECOM 마우스 M-DY12DB 시리즈,ELECOM マウス M-DY12DB シリ?ズ,"ELECOM 마우스 M-DY12DB 시리즈는 인체공학적 디자인과 고감도 센서를 갖춘 무선 마우스로, 장시간 작업에도 피로감을 줄여줍니다.",IT,2000
65,BUFFALO Wi-Fi 6 라우터 WSR-5400AX6S,BUFFALO Wi-Fi 6 ル?タ? WSR-5400AX6S,"BUFFALO WSR-5400AX6S는 Wi-Fi 6를 지원하는 고성능 라우터로, 빠르고 안정적인 무선 네트워크 환경을 제공합니다.",IT,12000
66,ELECOM 노트북 스탠드,ELECOM ノ?トパソコンスタンド,ELECOM 노트북 스탠드는 각도 조절이 가능한 견고한 알루미늄 구조로 장시간 노트북 사용 시 자세 교정에 도움을 줍니다.,IT,2500
67,Anker USB-C to HDMI 어댑터,Anker USB-C to HDMI アダプタ?,"Anker USB-C to HDMI 어댑터는 최대 4K 해상도 출력이 가능하여 노트북, 태블릿과 TV 또는 모니터를 손쉽게 연결해줍니다.",IT,2500
68,KOKUYO 스마트 노트 CamiApp,KOKUYO スマ?トノ?ト CamiApp,"KOKUYO 스마트 노트 CamiApp은 필기 내용을 디지털화할 수 있는 노트로, 스마트폰 앱과 연동하여 효율적인 메모 관리를 지원합니다.",IT,1300
69,비오레 UV 아쿠아리치 선크림,ビオレ UV アクアリッチ サンクリ?ム,DHC 비타민 C 세럼은 고농축 비타민 C 유도체를 함유한 미백 에센스로 피부 톤 개선과 안티에이징 효과가 있는 대표적인 일본 드럭스토어 제품입니다.,BEAUTY,750
70,캔메이크 크림치크,キャンメイク クリ?ムチ?ク,DHC 딥 클렌징 오일은 올리브 오일 기반의 인기 클렌징 오일로 메이크업과 노폐물을 효과적으로 제거하면서도 피부 수분은 지켜주는 제품입니다.,BEAUTY,700
71,하다라보 고쿠쥰 로션,ハダラボ 極潤ロ?ション,시세이도 레볼루미저는 첨단 광학 기술을 적용한 프리미엄 하이라이터로 빛을 반사하여 자연스러운 입체감을 연출해주는 시세이도의 대표 메이크업 제품입니다.,BEAUTY,800
72,"시세이도, 완벽한 휩",シセイドウ、パ?フェクトホイップ,시세이도 베네피앙스 링클 레지스트24 아이크림은 눈가 주름과 다크써클 개선에 효과적인 고농축 안티에이징 아이크림으로 24시간 지속되는 보습력을 제공합니다.,BEAUTY,600
73,DHC 딥 클렌징 오일,DHC ディ?プクレンジングオイル,시세이도 자외선 차단제는 고기능성 자외선 차단 제품으로 미세한 파티클이 피부에 균일하게 분포되어 보이지 않는 자외선까지 효과적으로 차단합니다.,BEAUTY,1350
74,오페라 립틴트 N,オペラ リップティント N,시세이도 미백 마스크팩은 비타민C 유도체와 특허 성분을 함유한 고농축 미백 마스크팩으로 칙칙한 피부 톤 개선과 수분 공급에 효과적입니다.,BEAUTY,1600
75,키스미 히로인 롱앤컬 마스카라,キスミ? ヒロインメイク ロング&カ?ルマスカラ,시세이도 마키아쥬 드라마틱 파우더리는 미세한 파우더 입자가 피부에 자연스럽게 밀착되어 매끄러운 피부를 연출해주는 프리미엄 파운데이션입니다.,BEAUTY,1100
76,마죠리카 마죠르카 마스카라,マジョリカ マジョルカ マスカラ,시세이도 마키아쥬 드라마틱 스타일링 아이즈는 고발색 파우더 아이섀도우 팔레트로 다양한 질감과 컬러로 입체적인 눈매를 연출할 수 있습니다.,BEAUTY,1350
77,세잔느 내추럴 치크 N,セザンヌ ナチュラルチ?ク N,슈에무라 클렌징 오일은 고품질 식물성 오일을 사용한 슈에무라의 시그니처 클렌징 오일로 짙은 메이크업도 부드럽게 제거하는 효과가 있습니다.,BEAUTY,500
78,루나솔 아이섀도우 팔레트,ルナソル アイシャドウ パレット,시세이도 우르라 디퓨저 아이브로우는 미세한 파우더와 프레시블룸 테크놀로지로 자연스러운 눈썹을 연출해주는 일본 시세이도의 인기 아이브로우 펜슬입니다.,BEAUTY,6000
79,SK-II 페이셜 트리트먼트 에센스,SK-II フェイシャル トリ?トメント エッセンス,"SK-II 페이셜 트리트먼트 에센스는 피테라™를 함유한 SK-II의 시그니처 제품으로 피부결과 투명도 개선, 주름 완화에 도움을 주는 프리미엄 스킨케어 에센스입니다.",BEAUTY,21500
80,시세이도 아네사 퍼펙트 UV 선스크린,SHISEIDO アネッサ パ?フェクトUV サンスクリ?ン,큐렐 보습 크림은 건조하고 민감한 피부를 위한 일본의 약용 스킨케어 브랜드 큐렐의 고보습 크림으로 피부 장벽 강화에 도움을 줍니다.,BEAUTY,2500
81,나이브 페이셜 클렌징 폼,ナイ?ブ フェイシャル クレンジングフォ?ム,"메라노CC 비타민C 에센스는 일본의 인기 미백 에센스로 비타민C 유도체를 함유하여 기미, 색소 침착 개선에 도움을 줍니다.",BEAUTY,400
82,포켓몬 키링,ポケモン キ?リング,하다라보 고쿠쥰 로션은 히알루론산이 풍부한 일본의 인기 보습 토너로 여러 단계의 스킨케어를 한 번에 해결할 수 있는 멀티 기능성 제품입니다.,CHARACTER,800
83,도라에몽 머그컵,ドラえもん マグカップ,코세 소프티모 클렌징 오일은 메이크업과 피지를 효과적으로 제거하는 일본의 인기 클렌징 오일로 민감한 피부에도 부담 없이 사용 가능합니다.,CHARACTER,1200
84,지브리 캐릭터 인형,ジブリキャラクタ? ぬいぐるみ,"지브리 스튜디오의 인기 캐릭터를 정교하게 재현한 인형으로 토토로, 가오나시, 포뇨 등 애니메이션 팬들에게 사랑받는 다양한 디자인과 크기로 제작된 수집 가치가 높은 상품입니다.",CHARACTER,2000
85,야마자키 12년 위스키,サントリ? 山崎12年,"야마자키 12년 위스키는 일본을 대표하는 프리미엄 싱글몰트 위스키로, 산토리 브랜드의 베스트셀러입니다. 과일향과 스파이시한 풍미가 조화롭게 어우러진 부드러운 맛이 특징입니다.",LIQUOR,18000
86,하쿠슈 12년 위스키,白州12年 ウイスキ?,"하쿠슈 12년 위스키는 산토리가 생산하는 싱글몰트 위스키로, 청량감과 우아한 향이 특징입니다. 꿀과 과일향이 어우러진 균형 잡힌 맛으로 위스키 애호가들에게 인정받는 고급 주류입니다.",LIQUOR,15000
87,닛카 프롬 더 배럴 위스키,ニッカ フロム?ザ?バレル ウイスキ?,"닛카 프롬 더 배럴 위스키는 일본 닛카 증류소의 블렌디드 위스키로, 바닐라와 캐러멜 풍미가 특징입니다. 목넘김이 부드럽고 가성비가 좋아 일본 내에서도 인기가 많은 위스키입니다.",LIQUOR,3800
88,다사이 23 사케,獺祭23 純米大吟?,"다사이 23 사케는 일본의 최고급 준마이 다이긴조 사케로, 쌀을 23%까지 정미하여 만든 프리미엄 제품입니다. 과일향과 꽃향이 조화롭게 어우러진 섬세한 풍미로 유명합니다.",LIQUOR,6000
89,쿠로키리시마 소주,?霧島 ?酎,"쿠로키리시마 소주는 가고시마현의 대표적인 고구마 소주로, 풍부한 향과 깊은 맛이 특징입니다. 전통 방식으로 양조되며 국내외 소주 애호가들에게 각광받는 프리미엄 소주입니다.",LIQUOR,1200
90,이이치코 실루엣 소주,いいちこ シルエット ?酎,"이이치코 실루엣 소주는 오이타현에서 생산되는 보리 소주로, 깔끔하고 부드러운 맛이 특징입니다. 현대적인 디자인의 병과 순수한 맛으로 일본 소주의 새로운 트렌드를 이끌고 있습니다.",LIQUOR,1500
91,쿠보타 만쥬 사케,久保田 萬? 純米大吟?,"쿠보타 만쥬 사케는 일본의 대표적인 준마이 다이긴조 사케로, 부드러운 맛과 깊은 향이 특징입니다. 니가타현의 전통 양조 기술로 만들어지며 고급 선물용으로도 인기가 높습니다.",LIQUOR,5000
92,파나소닉 나노케어 드라이기 EH-NA0J,パナソニック ナノケア ドライヤ? EH-NA0J,파나소닉 나노케어 드라이기 EH-NA0J는 나노이온 기술을 적용하여 모발 손상을 줄이고 윤기를 더해주는 고급 헤어 드라이어입니다. 빠른 건조력과 다양한 모드 설정으로 모발 타입에 맞춰 사용할 수 있습니다.,ELECTRONICS,30000
93,파나소닉 구강세정기 EW-DJ55,パナソニック 口腔洗?機 EW-DJ55,파나소닉 구강세정기 EW-DJ55는 강력한 수압 펄스로 칫솔이 닿지 않는 부분까지 깨끗하게 세정해주는 휴대용 구강세정기입니다. 방수 설계와 충전식 배터리로 여행이나 외출 시에도 편리하게 사용할 수 있습니다.,ELECTRONICS,13000
94,도시바 휴대용 전기면도기,東芝 携?用電?シェ?バ?,센코 공기청정기는 일본 가전 브랜드 센코의 공기청정기로 고효율 HEPA 필터를 사용하여 미세먼지와 알레르기 유발 물질을 효과적으로 제거합니다.,ELECTRONICS,4000
95,일리 X7.1 커피머신,illy X7.1 エスプレッソマシン,"일리 X7.1 캡슐 커피머신은 이탈리아 일리 브랜드의 가정용 에스프레소 머신으로, 간편한 원터치 방식과 고압 추출 시스템을 통해 카페급 에스프레소를 집에서 즐길 수 있게 해줍니다.",ELECTRONICS,35000
96,타이거 밥솥 JPB-G181,タイガ? 炊飯器 JPB-G181,"타이거 밥솥 JPB-G181은 일본의 고품질 주방가전 브랜드 타이거의 토자기 밥솥으로, 특수 코팅과 첨단 기술로 완벽한 밥맛을 구현하는 고급 전기밥솥입니다.",ELECTRONICS,16000
97,닌텐도 3DS LL,ニンテンド?3DS LL,"닌텐도 3DS LL은 3D 화면과 터치스크린을 갖춘 휴대용 게임기로, 다양한 인기 게임 타이틀과 함께 휴대하기 편리한 접이식 디자인이 특징입니다.",ELECTRONICS,18000
98,소니 디지털카메라 RX100 VII,ソニ? デジタルカメラ RX100 VII,"소니 RX100 VII은 컴팩트한 크기에 전문가급 성능을 갖춘 고성능 디지털카메라로, 빠른 오토포커스 시스템과 고화질 4K 동영상 촬영 기능이 특징입니다.",ELECTRONICS,120000
99,아쿠아 에센셜 모이스처 로션,アクア エッセンシャル モイスチャ? ロ?ション,"아쿠아 에센셜 모이스처 로션은 일본 스킨케어 브랜드의 고보습 토너로, 히알루론산과 천연 보습 성분을 풍부하게 함유하여 건조한 피부에 즉각적인 수분을 공급해줍니다.",BEAUTY,1500
100,코세 클리어 턴 페이스 마스크,コ?セ? クリア タ?ン フェイス マスク,"코세 클리어 턴 페이스 마스크는 일본 약국에서 인기 있는 시트 마스크로, 다양한 피부 고민에 맞춘 여러 종류가 있으며 합리적인 가격으로 매일 사용하기 좋은 제품입니다.",BEAUTY,250
101,시세이도 인테그레이트 아이브로우,資生堂 インテグレ?ト アイブロウ,"시세이도 인테그레이트 아이브로우는 자연스러운 눈썹을 연출해주는 아이브로우 펜슬로, 부드러운 발색과 오래 지속되는 포뮬러가 특징입니다.",BEAUTY,800
102,캔메이크 마시멜로우 피니시 파우더,キャンメイク マシュマロフィニッシュパウダ?,"캔메이크 마시멜로우 피니시 파우더는 일본의 인기 드럭스토어 브랜드의 페이스 파우더로, 마시멜로처럼 부드러운 피부 표현과 오래 지속되는 화장 지속력이 특징입니다.",BEAUTY,850
103,폰즈 클렌징 밀크,ポンズ クレンジングミルク,"폰즈 클렌징 밀크는 부드럽게 메이크업을 제거하는 밀크 타입 클렌저로, 민감한 피부에도 자극 없이 사용할 수 있는 순한 포뮬러가 특징입니다.",BEAUTY,700
104,카네보 프레싱 파우더,カネボウ プレシングパウダ?,"카네보 프레싱 파우더는 일본의 럭셔리 브랜드 카네보의 고급 파우더로, 미세한 입자가 피부에 완벽하게 밀착되어 매끄러운 피부 표현과 화장 지속력을 높여줍니다.",BEAUTY,3500
105,KATE 렌즈인 아이섀도우,KATE レンズインアイシャドウ,"KATE 렌즈인 아이섀도우는 일본 인기 메이크업 브랜드 KATE의 아이섀도우로, 렌즈처럼 눈에 밀착되어 선명한 발색과 오래 지속되는 효과가 특징입니다.",BEAUTY,1000
106,비오레 UV 어쿠아 리치 워터리 에센스 SPF50+,ビオレUV アクアリッチ ウォ?タリ?エッセンス SPF50+,"비오레 UV 어쿠아 리치 워터리 에센스는 일본 인기 선케어 제품으로, 가볍고 산뜻한 사용감과 높은 자외선 차단 지수가 특징인 워터리 타입 자외선 차단제입니다.",BEAUTY,900
107,도와 약용 핸드크림,ドヴァ? 薬用ハンドクリ?ム,"도와 약용 핸드크림은 일본에서 인기 있는 약용 핸드크림으로, 건조하고 거칠어진 손에 풍부한 보습과 영양을 공급하며 빠르게 흡수되는 가벼운 사용감이 특징입니다.",BEAUTY,450
108,스가오 에어핏 CC 크림,スガオ エアフィットCCクリ?ム,"스가오 에어핏 CC 크림은 가벼운 사용감과 자연스러운 커버력이 특징인 일본의 인기 베이스 메이크업 제품으로, 자외선 차단 기능까지 갖춰 데일리 메이크업에 적합합니다.",BEAUTY,1200
109,쿼리 보디워시 모이스처라이징,KAUHI? ボディウォッシュ モイスチャライジング,"쿼리 보디워시 모이스처라이징은 일본에서 인기 있는 보습 바디워시로, 부드러운 세정력과 함께 피부에 수분을 채워주어 샤워 후에도 당기지 않는 촉촉한 피부를 유지해줍니다.",BEAUTY,650
110,세이카츠노키 클렌징 오일,せいかつの木 クレンジングオイル,"세이카츠노키 클렌징 오일은 일본의 천연 성분 기반 스킨케어 브랜드의 마일드한 클렌징 오일로, 자극 없이 메이크업과 노폐물을 깨끗하게 제거해주는 제품입니다.",BEAUTY,1800
111,어메이징 밀키로션,アメ?ジング ミルキ?ロ?ション,"어메이징 밀키로션은 일본의 인기 바디로션으로, 풍부한 보습 성분과 가볍고 부드러운 발림성으로 건조한 피부에 오랜 시간 수분을 공급해줍니다.",BEAUTY,1200
112,레브론 슈퍼 러스트러스 립스틱,レブロン ス?パ?ラストラス リップスティック,"레브론 슈퍼 러스트러스 립스틱은 크리미한 발색과 광택 있는 피니시가 특징인 일본에서 인기 있는 립스틱으로, 다양한 컬러로 립 메이크업을 완성할 수 있습니다.",BEAUTY,850
113,시세이도 UV 립 컬러 스플래쉬,資生堂 UV リップカラ? スプラッシュ,"시세이도 UV 립 컬러 스플래쉬는 자외선 차단 기능이 있는 립 제품으로, 선명한 발색과 함께 입술을 보호해주는 기능성 립 메이크업 아이템입니다.",BEAUTY,1400
114,키스미 스피디 아이라이너,キスミ? スピ?ディ?アイライナ?,"키스미 스피디 아이라이너는 일본에서 사랑받는 롱래스팅 리퀴드 아이라이너로, 빠르게 건조되고 워터프루프 성능이 뛰어나 번짐 없이 선명한 아이라인을 오래 유지해줍니다.",BEAUTY,750
115,히말라야 허브스 치약,ヒマラヤ ハ?ブス 歯磨き粉,"히말라야 허브스 치약은 천연 허브 성분으로 만들어진 치약으로, 자극 없이 구강 건강을 케어하면서 상쾌한 입 냄새를 유지해주는 일본에서 인기 있는 수입 치약입니다.",BEAUTY,450
116,무지루시 가정용 미싱,無印良品 家庭用ミシン,"무지루시 가정용 미싱은 심플한 디자인과 사용하기 쉬운 기능성을 갖춘 실용적인 미싱으로, 초보자도 쉽게 다룰 수 있어 일본에서 인기가 높은 가정용 소형 미싱입니다.",HOME,45000
117,타이거 보온병 MMJ-A060,タイガ? 魔法?) MMJ-A060,"타이거 보온병 MMJ-A060은 일본의 대표적인 보온병 브랜드 타이거의 제품으로, 우수한 보온·보냉 성능과 가벼운 무게가 특징인 실용적인 휴대용 보온병입니다.",HOME,3500
118,산리오 헬로키티 머그컵,サンリオ ハロ?キティ? マグカップ,"산리오 헬로키티 머그컵은 일본의 인기 캐릭터 헬로키티 디자인의 머그컵으로, 귀여운 디자인과 실용성을 겸비한 산리오 공식 캐릭터 상품입니다.",CHARACTER,1500
119,젠 일본 도자기 찻잔 세트,禅 日本茶碗セット,"젠 일본 도자기 찻잔 세트는 전통적인 일본 도예 기술로 만들어진 고급 찻잔 세트로, 우아한 디자인과 정교한 세공이 특징인 일본 전통 공예품입니다.",HOME,8000
120,MUJI 무지루시 이불 커버 세트,無印良品 布團カバ?セット,"MUJI 무지루시 이불 커버 세트는 심플하고 내추럴한 디자인의 고품질 면 소재 이불 커버 세트로, 부드러운 촉감과 내구성이 뛰어난 실용적인 침구 제품입니다.",HOME,5000
121,이루루 에코백,IRURO エコバッグ,"이루루 에코백은 일본에서 인기 있는 가볍고 컴팩트한 접이식 에코백으로, 다양한 디자인과 내구성 있는 소재로 일상 쇼핑에 편리하게 사용할 수 있는 친환경 가방입니다.",HOME,800
122,스튜디오 지브리 토토로 접시 세트,スタジオジブリ トトロ お皿セット,"스튜디오 지브리 토토로 접시 세트는 일본 애니메이션 토토로 캐릭터가 디자인된 도자기 접시 세트로, 귀여운 디자인과 실용성을 겸비한 지브리 공식 라이센스 제품입니다.",CHARACTER,3500
123,무지루시 USB 가습기,無印良品 USB 加湿器,"무지루시 USB 가습기는 심플한 디자인과 휴대성이 뛰어난 소형 가습기로, USB 전원으로 작동되어 사무실이나 여행 시 간편하게 사용할 수 있는 실용적인 가전제품입니다.",HOME,2500
124,테폴 프라이팬 세트,ティファ?ル フライパンセット,"테폴 프라이팬 세트는 프랑스 주방용품 브랜드 테폴의 논스틱 코팅 프라이팬 세트로, 일본에서 인기 있는 내구성과 조리 성능이 뛰어난 주방 필수품입니다.",HOME,7500
125,호리카와 포켓 나이프,堀川 ポケットナイフ,"호리카와 포켓 나이프는 일본의 전통적인 접이식 나이프로, 고품질 스틸 블레이드와 인체공학적 핸들 디자인으로 실용성과 내구성이 뛰어난 일본 장인정신이 담긴 제품입니다.",HOME,3500
126,산리오 구로미 인형,サンリオ クロミ ぬいぐるみ,"산리오 구로미 인형은 일본의 인기 캐릭터 구로미의 공식 인형으로, 부드러운 소재와 귀여운 디자인으로 컬렉터와 산리오 팬들에게 인기 있는 캐릭터 상품입니다.",CHARACTER,2200
127,아리엘 세제 겔볼 3D,アリエ?ル ジェルボ?ル 3D,"아리엘 세제 겔볼 3D는 일본에서 인기 있는 다기능 세탁 세제로, 세정·표백·얼룩 제거 성분이 하나의 캡슐에 농축되어 편리하고 효과적인 세탁이 가능한 제품입니다.",HOME,950
128,야마자키 타월 행거,山崎 タオルハンガ?,"야마자키 타월 행거는 일본의 모던 인테리어 브랜드 야마자키의 심플한 디자인 타월 걸이로, 공간 절약형 구조와 세련된 디자인이 특징인 실용적인 욕실 수납 제품입니다.",HOME,1500
129,코쿠요 스테이플러 세트,コクヨ ホッチキスセット,"코쿠요 스테이플러 세트는 일본의 인기 문구 브랜드 코쿠요의 고품질 스테이플러와 심 세트로, 내구성과 사용감이 뛰어나 사무실이나 가정에서 실용적으로 사용할 수 있는 제품입니다.",HOME,1800
130,카야 일본 모기장,蚊帳 日本蚊帳,"카야 일본 모기장은 일본 전통 방식으로 제작된 고품질 모기장으로, 미세한 망사 구조로 모기와 해충을 효과적으로 차단하면서도 통기성이 좋은 실용적인 침구 아이템입니다.",HOME,4500
131,도쿄바나나 컵케이크 장식세트,東京ばなな カップケ?キデコレ?ションセット,"도쿄바나나 컵케이크 장식세트는 일본의 유명 디저트 브랜드 이름을 딴 베이킹 장식 세트로, 다양한 색상의 스프링클과 토퍼로 홈베이킹을 더욱 특별하게 만들어주는 제품입니다.",HOME,850
132,감성은 패션에서 시작한다.,敏感さはファッションから始まります。,"감성은 패션에서 시작한다는 일본의 유명한 라이프스타일 책으로, 심플하고 스타일리시한 패션과 인테리어를 통해 일상의 감성을 높이는 방법을 제안하는 베스트셀러입니다.",HOME,2200
133,무지루시 유기농 자스민 티백,無印良品 オ?ガニック?ジャスミン?ティ?バッグ,"무지루시 유기농 자스민 티백은 일본의 라이프스타일 브랜드 무지루시에서 판매하는 유기농 인증 자스민 차로, 깔끔한 맛과 향이 특징인 고품질 티백 제품입니다.",FOOD,850
134,브렛 파티유 오리지널 라멘,ベレット?パティユ? オリジナルラ?メン,"브렛 파티유 오리지널 라멘은 일본의 고급 라멘 레스토랑에서 개발한 가정용 라멘으로, 풍부한 육수와 쫄깃한 면발이 특징인 프리미엄 인스턴트 라멘입니다.",FOOD,1800
135,뽀로로 초콜릿 과자,ポロロ チョコレ?トスナック,"뽀로로 초콜릿 과자는 한국 인기 애니메이션 캐릭터인 뽀로로를 활용한 일본에서 판매되는 어린이용 초콜릿 과자로, 귀여운 모양과 달콤한 맛이 특징입니다.",FOOD,350
136,오이시 카레 센베이,美味しいカレ?せんべい,"오이시 카레 센베이는 일본의 전통적인 쌀과자인 센베이에 카레 맛을 가미한 과자로, 바삭한 식감과 풍부한 카레 향이 특징인 인기 스낵입니다.",FOOD,250
137,마타차 KitKat,抹茶 キットカット,"마타차 KitKat은 일본에서만 판매되는 특별한 녹차 맛 킷캣으로, 고급 말차 파우더를 사용하여 만든 달콤하면서도 쓴맛이 조화로운 일본의 대표적인 수출 과자입니다.",FOOD,450
138,요이치 크래커,与一 クラッカ?,"요이치 크래커는 일본의 전통적인 해산물 맛 크래커로, 바삭한 식감과 감칠맛 나는 해산물 풍미가 특징인 인기 스낵입니다.",FOOD,300
139,유자 꿀,ゆず蜂蜜,"유자 꿀은 일본 특산품인 유자와 고품질 꿀을 혼합한 제품으로, 상큼한 유자의 향과 달콤한 꿀의 맛이 조화롭게 어우러진 건강 식품입니다.",FOOD,1500
140,히타치노 네스트 화이트에일,常陸野ネストホワイトエ?ル,"히타치노 네스트 화이트에일은 일본의 크래프트 맥주 브루어리에서 생산하는 벨기에 스타일의 화이트 에일로, 부드러운 맛과 과일향이 특징인 프리미엄 맥주입니다.",FOOD,450
141,도쿄 바나나 (Tokyo Banana),東京ばなな,"도쿄 바나나는 바나나 모양의 부드러운 스폰지 케이크 안에 바나나 크림이 들어있는 일본의 유명한 도쿄 지역 한정 기념품으로, 부드러운 식감과 달콤한 바나나 맛이 특징입니다.",FOOD,150
142,하기와라 과일 젤리,萩原 フル?ツゼリ?,"하기와라 과일 젤리는 신선한 과일 주스로 만든 투명한 일본식 젤리로, 부드러운 식감과 생생한 과일 맛이 특징인 일본의 인기 디저트입니다.",FOOD,250
143,쿠보타 쌀 오마치 5kg,久保田 米 雄町 5kg,"쿠보타 쌀 오마치는 일본의 고급 쌀 품종인 오마치로 만든 프리미엄 백미로, 찰기와 감칠맛이 뛰어나 최고급 초밥이나 일본 요리에 사용되는 고품질 쌀입니다.",FOOD,6500
144,카고메 토마토 주스,カゴメ トマトジュ?ス,"카고메 토마토 주스는 일본의 대표적인 토마토 주스 브랜드로, 100% 토마토로 만들어 토마토 본연의 풍부한 맛과 영양소를 그대로 담은 건강 음료입니다.",FOOD,200
145,메이지 초콜릿,明治 チョコレ?ト,"메이지 초콜릿은 일본의 대표적인 초콜릿 브랜드로, 부드러운 식감과 풍부한 코코아 향이 특징인 고품질 밀크 초콜릿입니다.",FOOD,300
146,큐피 마요네즈,キュ?ピ? マヨネ?ズ,"큐피 마요네즈는 일본에서 가장 인기 있는 마요네즈 브랜드로, 크리미한 텍스처와 부드러운 맛이 특징이며 일본 요리에 널리 사용되는 조미료입니다.",FOOD,400
147,아오오니 IPA,青鬼 IPA,"아오오니 IPA는 일본의 인기 있는 크래프트 맥주로, 풍부한 홉 향과 적절한 쓴맛이 조화를 이루는 인디아 페일 에일 스타일의 맥주입니다.",FOOD,350
148,모리나가 밀크 캐러멜,森永 ミルクキャラメル,"모리나가 밀크 캐러멜은 일본의 클래식한 캐러멜 사탕으로, 부드러운 식감과 풍부한 우유 맛이 특징인 오랜 역사를 가진 대표적인 일본 과자입니다.",FOOD,250
149,우지 말차 파우더,宇治 抹茶パウダ?,"우지 말차 파우더는 일본 교토 우지 지역에서 생산되는 최고급 녹차 가루로, 진한 녹차 향과 맛이 특징이며 전통 차 세레모니나 디저트 제조에 사용되는 고급 식재료입니다.",FOOD,2000
150,에비센베이 새우 과자,えび?せんべい,"에비센베이는 일본의 전통적인 새우 맛 쌀과자로, 바삭한 식감과 감칠맛 나는 새우 풍미가 특징인 인기 스낵입니다.",FOOD,300
